City,State,Latitude,Longitude
Tonk,Rajasthan,#N/A,#N/A
Jaipur,Rajasthan,#N/A,#N/A
Jodhpur,Rajasthan,#N/A,#N/A
Alwar,Rajasthan,#N/A,#N/A
Ajmer,Rajasthan,#N/A,#N/A
Kota,Rajasthan,#N/A,#N/A
Pali,Rajasthan,#N/A,#N/A
Udaipur,Rajasthan,#N/A,#N/A
Bharatpur,Rajasthan,#N/A,#N/A
Churu,Rajasthan,#N/A,#N/A
Dholpur,Rajasthan,#N/A,#N/A
Sirohi,Rajasthan,#N/A,#N/A
Banswara,Rajasthan,#N/A,#N/A
Chittorgarh,Rajasthan,#N/A,#N/A
Dausa,Rajasthan,#N/A,#N/A
Barmer,Rajasthan,#N/A,#N/A
Hanumangarh,Rajasthan,#N/A,#N/A
Sawai Madhopur,Rajasthan,#N/A,#N/A
Jhunjhunu,Rajasthan,#N/A,#N/A
Rajsamand,Rajasthan,#N/A,#N/A
Sri Ganganagar,Rajasthan,#N/A,#N/A
Pratapgarh,Rajasthan,#N/A,#N/A
Sikar,Rajasthan,#N/A,#N/A
Karauli,Rajasthan,#N/A,#N/A
Jhalawar,Rajasthan,#N/A,#N/A
Bhilwara,Rajasthan,#N/A,#N/A
Bundi,Rajasthan,#N/A,#N/A
Jaisalmer,Rajasthan,#N/A,#N/A
Baran,Rajasthan,#N/A,#N/A
Nagaur,Rajasthan,#N/A,#N/A
Gangtok,Sikkim,#N/A,#N/A
Salem,Tamil Nadu,#N/A,#N/A
Chennai,Tamil Nadu,#N/A,#N/A
Tirupur,Tamil Nadu,#N/A,#N/A
Hosur,Tamil Nadu,#N/A,#N/A
Kanchipuram,Tamil Nadu,#N/A,#N/A
Coimbatore,Tamil Nadu,#N/A,#N/A
Ooty,Tamil Nadu,#N/A,#N/A
Ramanathapuram,Tamil Nadu,#N/A,#N/A
Palkalaiperur,Tamil Nadu,#N/A,#N/A
Hyderabad,Telangana,#N/A,#N/A
Agartala,Tripura,#N/A,#N/A
Kashipur,Uttarakhand,#N/A,#N/A
Ghaziabad,Uttar Pradesh,#N/A,#N/A
Noida,Uttar Pradesh,#N/A,#N/A
Greater Noida,Uttar Pradesh,#N/A,#N/A
Bulandshahr,Uttar Pradesh,#N/A,#N/A
Lucknow,Uttar Pradesh,#N/A,#N/A
Varanasi,Uttar Pradesh,#N/A,#N/A
Kanpur,Uttar Pradesh,#N/A,#N/A
Agra,Uttar Pradesh,#N/A,#N/A
Hapur,Uttar Pradesh,#N/A,#N/A
Meerut,Uttar Pradesh,#N/A,#N/A
Prayagraj,Uttar Pradesh,#N/A,#N/A
Gorakhpur,Uttar Pradesh,#N/A,#N/A
Firozabad,Uttar Pradesh,#N/A,#N/A
Vrindavan,Uttar Pradesh,#N/A,#N/A
Moradabad,Uttar Pradesh,#N/A,#N/A
Jhansi,Uttar Pradesh,#N/A,#N/A
Baghpat,Uttar Pradesh,#N/A,#N/A
Bareilly,Uttar Pradesh,#N/A,#N/A
Khurja,Uttar Pradesh,#N/A,#N/A
Kolkata,West Bengal,#N/A,#N/A
Howrah,West Bengal,#N/A,#N/A
Asansol,West Bengal,#N/A,#N/A
Siliguri,West Bengal,#N/A,#N/A
Durgapur,West Bengal,#N/A,#N/A
Haldia,West Bengal,#N/A,#N/A
Amaravati,Andhra Pradesh,#N/A,#N/A
Anantapur,Andhra Pradesh,#N/A,#N/A
Chittoor,Andhra Pradesh,#N/A,#N/A
Kadapa,Andhra Pradesh,#N/A,#N/A
Rajamahendravaram,Andhra Pradesh,#N/A,#N/A
Tirupati,Andhra Pradesh,#N/A,#N/A
Vijayawada,Andhra Pradesh,#N/A,#N/A
Visakhapatnam,Andhra Pradesh,#N/A,#N/A
Naharlagun,Arunachal Pradesh,#N/A,#N/A
